,humidity,light,temperature,soil,label
132,77.0,570.0,23.0,70.3,0.0
133,78.0,474.999969,22.6,56.7,0.0
134,61.0,497.499969,28.0,49.50059557,0.0
135,80.0,0.0,24.1,49.58848797,0.0
136,73.0,365.833313,25.299999,50.0,0.0
137,53.0,427.499969,28.9,49.59396936,2.0
138,75.0,0.0,26.799999,49.80342715,0.0
139,73.0,204.999985,27.6,49.39080431,1.0
140,79.0,310.0,23.799999,49.70904968,0.0
141,80.0,1833.333252,30.799999,49.58848797,3.0
142,68.0,9.166666,28.0,49.32682402,0.0
143,52.0,1776.0,27.0,53.0,3.0
144,73.0,160.0,27.6,49.70904968,1.0
145,78.0,348.333313,23.799999,49.50059557,0.0
146,67.0,31.666666,28.5,49.70904968,1.0
147,68.0,2295.0,24.0,32.0,3.0
148,79.0,0.0,26.200001,50.0,0.0
149,62.0,293.333313,29.299999,49.50059557,2.0
150,55.0,14.0,28.0,48.0,1.0
151,70.0,95.833328,28.0,56.4,0.0
152,59.0,50.0,31.0,46.0,1.0
153,79.0,0.0,24.1,50.3900634,0.0
154,56.0,987.0,21.0,56.0,1.0
155,67.0,1912.0,22.0,53.0,1.0
156,68.0,645.0,28.0,50.2,0.0
157,74.0,3869.999756,23.799999,46.10845297,0.0
158,50.0,2490.0,30.200001,49.70904968,3.0
159,78.0,2814.0,21.0,30.0,1.0
160,53.0,364.166656,28.5,49.58848797,2.0
161,71.0,23.333332,27.6,56.7,0.0
162,59.0,808.0,24.0,51.0,3.0
163,70.0,228.333328,28.0,49.58848797,1.0
164,60.0,72.5,28.0,56.4,0.0
165,70.0,1199.166626,28.0,30.0,1.0
166,69.0,1153.333252,28.0,49.05514106,1.0
167,66.0,39.166664,28.5,49.51117047,1.0
168,50.0,618.0,26.0,61.0,2.0
169,74.0,1.666667,27.1,50.0,0.0
170,51.0,981.0,29.0,40.0,3.0
171,62.0,74.166664,28.0,49.39080431,0.0
172,72.0,2495.0,23.0,40.0,2.0
173,52.0,393.333313,28.9,49.50059557,2.0
174,66.0,394.0,32.0,39.0,3.0
175,68.0,1968.333252,27.6,48.54187923,0.0
