humidity,light,temperature,soil,label
72,66.666664,25.299999,49.78721065,
72,2486.666504,25.799999,49.69986818,
71,1504.166626,25.299999,49.69357918,
71,3509.999756,25.299999,49.69357918,
69,2117.5,26.200001,49.93886952,
69,1774.999878,26.200001,50.14673802,
69,1521.666626,27.6,49.89876683,
69,1561.666626,27.9,49.89876683,
64,1861.666626,28,49.65470347,
63,2472.5,27.1,49.38581681,
65,2283.333252,27.6,49.38581681,
67,2335,27.6,49.11285833,
68,2651.666504,27.6,49.11285833,
68,2084.166504,27.6,49.17565056,
67,2215,27.6,49.14228956,
67,2255,27.6,48.76786325,
68,2112.5,27.6,48.54187923,
68,1968.333252,27.6,48.54187923,
67,2072.5,28,48.81987973,
67,2115.833252,28,48.74362379,
68,2381.666504,28,48.74362379,
68,1563.333252,28,49.13295355,
68,1516.666626,28,48.98441278,
68,1669.166626,28,48.98441278,
68,1634.999878,28,48.55999216,
68,1611.666626,28,48.45519089,
68,1702.499878,28,48.72841421,
68,1638.333252,28,48.69998285,
68,1575.833252,28,48.94315812,
69,1329.166626,27.6,48.74313785,
70,1165.833252,27.6,48.75005511,
69,1012.499939,27.6,48.91658412,
69,941.666626,27.6,48.91658412,
69,933.333313,28,49.23334255,
69,827.499939,27.6,49.23334255,
69,811.666626,27.6,49.05090631,
70,750,27.6,49.05090631,
69,770.833313,27.6,48.87862055,
69,820.833313,27.6,48.66676911,
70,737.5,27.6,48.66676911,
69,747.5,27.1,48.62833402,
70,1019.166626,27.200001,48.79978733,
70,1130,27.1,48.79978733,
72,1272.5,27.6,48.71968599,
70,900.833313,27.1,48.71968599,
70,734.166626,27.6,48.69416629,
70,804.166626,27.6,48.91894589,
71,1278.333252,27.6,49.13661268,
70,899.999939,27.6,49.13661268,
70,1290.833252,27.6,49.00735323,
68,929.999939,28,49.10499417,
68,1048.333252,28,49.27398274,
69,1564.999878,27.799999,49.27398274,
69,1153.333252,28,49.05514106,
68,1177.5,28,48.92170055,
68,1138.333252,28,50,
68,1431.666626,28,60,
68,1040.833252,28,50.02968326,
68,686.666626,28,49.83224158,
69,550.833313,28,49.99768795,
69,1197.5,28,49.84409211,
68,1004.999939,28,49.84409211,
68,766.666626,28,50.10185846,
68,1195,28,49.8893591,
68,1089.166626,28,50,
68,1116.666626,28,50.01843631,
68,914.999939,28,70,
68,738.333313,28,50.05944643,
68,1053.333252,28,50.17331641,
68,1048.333252,28,50.17331641,
68,864.166626,28,50.22150216,
67,694.166626,28,50.34282498,
69,679.166626,28,50.20540672,
68,670,28,50.20540672,
68,645,28,50.2,
68,894.999939,28,50.2,
68,727.5,27.6,55,
68,696.666626,28,55,
69,604.166626,28,55,
70,550.833313,28,55,
69,422.499969,28,55,
68,559.166626,28,50,
68,574.166626,28,50,
69,484.166656,28,48.35769989,
69,405.833313,28,50.98556684,
69,329.166656,28,53.54529309,
68,326.666656,28,57.54229299,
68,327.5,28,49.69467689,
70,340.833313,28,46.10845297,
69,770.833313,28,36.44568367,
69,383.333313,28,29.31494266,
70,375.833313,27.6,50,
71,340.833313,27.6,50,
69,314.166656,27.6,50,
70,289.166656,27.6,50.04136289,
71,320.833313,27.6,50,
71,462.499969,27.6,50.3900634,
71,408.333313,27.6,50,
72,249.166656,27.6,49.77880291,
72,242.499985,27.6,49.58103521,
72,228.333328,27.6,49.39285613,
71,217.499985,27.6,49.39285613,
71,203.333328,27.6,49.51117047,
72,194.999985,27.6,49.51117047,
72,173.333328,27.6,49.59396936,
73,165.833328,27.6,49.70904968,
73,160,27.6,49.70904968,
73,151.666656,27.6,49.98015822,
72,139.166656,27.1,49.50059557,
72,124.166664,27.1,49.50059557,
72,118.333328,27.1,49.58848797,
73,111.666664,27.1,49.39080431,
73,100.833328,27.1,30,
73,86.666664,27.1,50,
73,71.666664,27.1,50,
73,55.833332,27.1,50,
73,40.833332,27.1,50.04136289,
74,18.333332,27.1,50,
74,6.666667,27.1,50.3900634,
74,1.666667,27.1,50,
75,0,27.1,49.77880291,
75,0,27.1,49.58103521,
75,0,27.1,49.39285613,
75,0,27.1,49.39285613,
73,0,27.1,49.51117047,
73,0,27.6,49.51117047,
73,0,27.6,49.59396936,
73,0,27.4,49.70904968,
75,0,27.1,49.70904968,
76,0,26.700001,49.98015822,
76,0,26.700001,49.50059557,
77,0,26.700001,49.50059557,
