,humidity,light,temperature,soil,label
871,64,2462.0,28.0,51.0,3
737,64,330.833313,28.5,49.39080431,2
596,74,452.499969,24.799999,49.39080431,0
602,73,347.5,25.299999,50.0,0
376,79,0.0,24.5,49.98015822,0
81,76,0.0,26.700001,49.83852295,0
625,72,318.333313,26.700001,50.390063399999995,1
597,73,440.833313,24.799999,30.0,0
424,77,361.666656,24.1,49.58848797,0
822,60,231.0,25.0,62.0,2
164,70,750.0,27.6,49.05090631,1
907,66,733.0,21.0,60.0,2
80,75,0.0,26.700001,50.20435309,0
191,68,1195.0,28.0,49.8893591,0
290,78,0.0,26.200001,50.0,0
276,77,0.0,26.4,49.59396936,0
303,78,0.0,26.200001,49.50059557,0
513,60,104.99999199999999,28.5,49.51117047,2
457,73,4342.5,23.799999,50.0,0
380,79,0.0,24.5,49.39080431,0
182,68,1177.5,28.0,48.92170055,0
692,69,903.3333130000001,26.200001,46.10845297,1
336,77,0.0,25.299999,36.44568367,0
573,60,40.833332,28.5,46.10845297,1
67,75,0.0,27.1,49.81608362,0
1005,73,1403.0,32.0,37.0,2
836,60,718.0,25.0,53.0,3
204,68,727.5,27.6,55.0,0
437,78,524.166626,23.0,60.0,0
927,56,1982.0,28.0,65.0,2
767,62,123.33332800000001,28.9,50.390063399999995,2
90,76,0.0,26.200001,49.8753594,0
487,51,548.333313,29.799999,49.58103521,2
757,63,130.0,28.9,49.50059557,2
811,63,100.0,31.0,55.0,3
983,80,973.0,20.0,37.0,0
680,70,2590.0,28.0,40.2,1
952,69,10.0,22.0,69.0,1
107,77,0.0,25.799999,50.39758431,0
516,61,94.166664,28.1,49.70904968,2
775,61,8.333333,29.0,49.59396936,1
470,44,2119.166504,34.700001,49.59396936,3
300,78,0.0,26.200001,49.70904968,0
761,62,126.66666399999998,28.9,50.0,2
766,62,114.99999199999999,28.9,50.0,2
583,60,461.66665599999993,28.0,49.77880291,0
984,84,694.0,25.0,52.0,2
159,69,1012.499939,27.6,48.91658412,1
953,77,39.0,24.0,37.0,0
171,72,1272.5,27.6,48.71968599,1
521,64,99.166664,27.1,49.39080431,0
657,72,168.333328,27.6,49.70904968,1
78,75,0.0,26.700001,50.12493131,0
612,73,288.333313,25.799999,49.70904968,0
542,61,70.83332800000001,28.0,49.50059557,0
885,55,65.0,29.0,36.0,3
292,46,4820.833008,33.799999,50.0,3
611,73,337.5,25.799999,49.59396936,0
691,70,974.999939,25.799999,49.69467689,0
1003,74,1792.0,24.0,44.0,0
851,62,1173.0,26.0,46.0,3
722,66,431.66665599999993,27.6,50.390063399999995,0
647,72,462.499969,27.6,50.0,1
441,77,623.333313,23.0,60.5,0
14,67,36.666664000000004,28.5,49.70904968,1
723,65,417.499969,28.0,50.0,0
156,68,1575.833252,28.0,48.94315812,0
266,77,0.0,26.700001,50.04136289,0
543,62,74.166664,28.0,49.58848797,0
1022,68,2456.0,30.0,69.0,1
104,77,0.0,25.799999,50.18661936,0
974,70,249.0,29.0,32.0,2
86,76,0.0,26.200001,50.12529189,0
968,83,508.0,21.0,32.0,0
1001,62,1032.0,27.0,40.0,2
33,71,13.333332999999998,28.0,49.38557781,0
305,78,0.0,26.0,49.58848797,0
450,75,794.9999389999999,23.4,60.5,0
839,59,877.0,28.0,44.0,3
141,68,2084.166504,27.6,49.17565056,0
914,60,719.0,32.0,42.0,3
827,65,282.0,31.0,73.0,2
607,73,292.5,25.799999,49.39285613,0
239,73,111.66666399999998,27.1,49.39080431,1
83,76,0.0,26.200001,49.9140576,0
531,63,87.5,27.6,49.77880291,0
132,69,2117.5,26.200001,49.93886952,1
826,53,331.0,32.0,51.0,3
554,59,55.83333199999999,28.0,49.39080431,0
59,74,0.0,27.1,50.03428651,0
695,69,820.833313,26.700001,50.0,1
870,62,2658.0,29.0,31.0,3
58,74,0.0,27.1,50.27921687,0
1014,80,2515.0,28.0,50.0,2
98,76,0.0,26.200001,49.88781071,0
803,54,29.0,23.0,33.0,1
708,67,412.499969,27.1,49.59396936,0
37,73,9.166666000000001,27.6,49.3954979,0
294,65,5169.166504,34.200001,49.58103521,3
743,63,199.999985,28.5,50.0,2
494,53,405.833313,28.9,49.70904968,2
149,68,1563.333252,28.0,49.13295355,0
574,61,43.333332,28.5,36.44568367,1
850,56,1492.0,24.0,59.0,3
479,49,1925.833252,30.799999,50.0,3
982,69,979.0,22.0,66.0,1
299,78,0.0,26.200001,49.59396936,0
526,64,85.83332800000001,27.6,50.0,0
96,76,0.0,26.200001,50.06748717,0
73,75,0.0,27.1,49.78724706,0
458,73,4610.0,23.799999,50.0,0
335,77,0.0,25.299999,46.10845297,0
853,54,1692.0,24.0,34.0,1
131,71,3509.999756,25.299999,49.69357918,0
307,78,0.0,25.799999,30.0,0
563,58,54.166664000000004,28.0,49.39080431,0
1020,78,2032.0,28.0,32.0,2
351,78,0.0,24.799999,49.59396936,0
586,60,452.499969,28.0,49.39285613,0
613,73,245.83332799999997,25.799999,49.70904968,0
212,69,405.833313,28.0,50.98556684,1
861,66,2160.0,20.0,49.0,3
353,79,0.0,24.799999,49.70904968,0
603,73,312.5,25.299999,50.390063399999995,0
447,76,679.166626,23.4,70.2,0
0,66,182.5,28.5,50.0,2
206,69,604.166626,28.0,55.0,1
330,77,0.0,25.299999,70.3,0
569,60,49.999996,28.1,60.5,1
250,75,0.0,27.1,49.39285613,0
60,74,0.0,27.1,49.90447752,0
255,73,0.0,27.4,49.70904968,0
701,69,652.5,27.1,50.0,1
373,79,0.0,24.5,49.59396936,0
178,68,929.999939,28.0,49.10499417,0
137,63,2472.5,27.1,49.38581681,3
463,70,4873.333008,24.799999,50.0,0
109,77,0.0,25.799999,50.46333675,0
395,79,0.0,24.1,49.59396936,0
823,59,301.0,28.0,36.0,1
365,79,0.0,24.5,50.390063399999995,0
354,78,0.0,24.799999,49.98015822,0
500,54,399.999969,28.9,30.0,2
64,74,0.0,27.1,49.75227877,0
831,57,712.0,21.0,53.0,3
119,74,117.49999199999999,24.5,50.09427778,0
606,73,321.666656,25.799999,49.58103521,0
511,59,108.33332800000001,28.5,49.39285613,2
179,68,1048.333252,28.0,49.27398274,0
431,79,461.66665599999993,22.6,60.5,0
891,59,310.0,24.0,50.0,3
257,76,0.0,26.700001,49.98015822,0
970,72,124.0,26.0,38.0,2
110,77,0.0,25.799999,50.48115387,0
2,68,178.333328,28.9,50.0,0
393,79,0.0,24.1,49.51117047,0
346,78,0.0,24.799999,49.58103521,0
537,63,67.5,27.6,49.59396936,0
461,73,4876.666504,24.1,50.0,0
538,63,71.666664,27.6,49.70904968,0
506,57,320.833313,28.5,50.390063399999995,2
906,59,821.0,24.0,50.0,3
265,77,0.0,26.700001,50.0,0
951,65,77.0,23.0,48.0,2
301,78,0.0,26.200001,49.70904968,0
669,70,97.499992,28.0,60.5,0
328,77,0.0,25.299999,70.2,0
520,64,87.5,27.1,49.58848797,0
273,77,0.0,26.700001,49.39285613,0
1002,74,1718.0,24.0,76.0,1
678,70,2143.333252,28.0,70.3,1
310,78,0.0,25.799999,56.4,0
54,74,0.0,27.6,50.10575231,0
749,63,217.499985,28.9,49.39285613,2
774,61,86.666664,28.9,49.51117047,2
819,50,142.0,28.0,39.0,3
209,68,559.166626,28.0,50.0,0
939,57,2937.0,28.0,60.0,3
408,79,0.0,23.799999,50.04136289,0
969,64,193.0,28.0,42.0,2
562,58,50.833332,28.0,49.58848797,0
650,72,163.333328,27.6,49.77880291,1
615,73,301.666656,26.200001,49.50059557,1
125,73,163.333328,24.799999,49.86537156,0
564,58,57.499995999999996,28.0,30.0,0
856,65,1934.0,30.0,42.0,3
653,72,167.5,27.6,49.39285613,1
821,53,517.0,25.0,49.0,3
971,76,211.0,26.0,56.0,2
684,70,1068.333252,28.0,60.0,1
478,50,3784.166504,30.799999,30.0,3
996,63,1239.0,21.0,50.0,2
840,51,818.0,32.0,32.0,3
820,59,132.0,26.0,34.0,3
36,73,6.6666669999999995,27.6,49.3954979,0
428,78,441.66665599999993,23.0,70.2,0
102,77,0.0,26.200001,50.05805769,0
139,67,2335.0,27.6,49.11285833,0
194,68,914.999939,28.0,70.0,0
675,70,164.16665600000002,28.0,60.0,1
333,77,0.0,25.299999,57.54229299,0
534,63,72.5,27.6,49.39285613,0
40,74,10.0,27.6,49.51315261,0
475,51,1944.1666260000002,30.799999,49.50059557,3
508,57,117.49999199999999,28.5,49.77880291,2
904,68,740.0,24.0,53.0,3
378,79,0.0,24.5,49.50059557,0
249,75,0.0,27.1,49.58103521,0
991,71,703.0,30.0,47.0,2
926,55,1290.0,28.0,40.0,3
374,79,0.0,24.5,49.70904968,0
486,52,484.16665599999993,29.4,49.77880291,2
509,57,116.66666399999998,28.5,49.58103521,2
421,79,327.5,23.799999,49.98015822,0
536,63,65.0,27.6,49.51117047,0
150,68,1516.666626,28.0,48.98441278,0
523,62,109.16666399999998,27.1,50.0,0
295,55,2119.166504,34.700001,49.39285613,3
699,69,715.0,26.700001,50.0,1
429,78,439.16665599999993,22.6,56.4,0
522,64,101.666664,27.200001,30.0,0
880,67,36.0,28.0,47.0,3
921,61,1686.0,21.0,59.0,3
50,75,0.0,27.6,49.98402626,0
38,73,10.0,27.6,49.36340505,0
262,77,0.0,26.700001,30.0,0
314,78,0.0,25.799999,56.7,0
946,63,2818.0,30.0,49.0,3
707,67,423.333313,27.1,49.51117047,0
1011,75,2951.0,22.0,46.0,2
608,73,315.0,25.799999,49.39285613,0
170,70,1130.0,27.1,48.79978733,1
807,54,40.0,26.0,79.0,2
717,67,447.499969,27.6,50.0,0
776,61,8.333333,29.299999,49.70904968,1
805,50,62.0,28.0,40.0,3
88,76,0.0,26.200001,49.86183727,0
400,80,0.0,24.1,49.50059557,0
501,56,374.166656,28.5,50.0,2
92,76,0.0,26.200001,49.77456957,0
385,79,0.0,24.5,50.04136289,0
253,73,0.0,27.6,49.51117047,0
644,72,296.666656,27.6,50.0,1
867,64,2443.0,26.0,74.0,2
319,78,0.0,25.799999,70.2,0
399,80,0.0,24.1,49.50059557,0
1019,81,2898.0,32.0,38.0,2
714,68,454.999969,27.6,49.58848797,0
637,72,265.833313,27.1,49.50059557,1
282,79,0.0,26.200001,49.58848797,0
93,76,0.0,26.200001,49.81465508,0
140,68,2651.666504,27.6,49.11285833,0
888,54,80.0,28.0,42.0,1
989,80,929.0,30.0,32.0,2
502,57,387.499969,28.5,50.0,2
44,74,0.0,27.6,50.08460109,0
17,67,75.83332800000001,28.5,49.50059557,2
51,74,0.0,27.6,49.98402626,0
567,60,54.999995999999996,28.5,56.4,1
11,66,38.333332,28.5,49.51117047,1
942,70,2117.0,26.0,65.0,2
187,69,550.833313,28.0,49.99768795,1
666,71,150.0,28.0,70.2,1
915,56,765.0,29.0,40.0,3
42,73,10.0,27.6,49.17028205,0
981,75,843.0,21.0,59.0,2
779,62,320.0,29.299999,49.50059557,2
391,79,0.0,24.1,49.39285613,0
816,58,406.0,20.0,44.0,3
773,61,82.5,29.299999,49.51117047,2
49,75,0.0,27.6,50.24209698,0
510,58,112.49999199999999,28.5,49.39285613,2
662,71,108.33332800000001,28.0,49.58848797,1
957,74,22.0,26.0,64.0,1
268,77,0.0,26.700001,50.390063399999995,0
121,73,114.99999199999999,24.799999,49.88156256,0
135,69,1561.666626,27.9,49.89876683,1
311,78,0.0,25.799999,70.3,0
930,55,1593.0,29.0,39.0,3
1007,67,1079.0,32.0,72.0,1
355,79,0.0,24.799999,49.50059557,0
964,81,391.0,24.0,49.0,2
948,68,2580.0,29.0,42.0,2
874,50,58.0,24.0,39.0,3
894,69,367.0,25.0,45.0,3
918,57,839.0,29.0,32.0,1
363,79,0.0,24.799999,50.04136289,0
381,79,0.0,24.5,30.0,0
756,62,155.0,28.9,49.50059557,2
550,60,60.83333199999999,28.0,60.5,0
138,65,2283.333252,27.6,49.38581681,0
859,56,2032.0,20.0,31.0,3
277,77,0.0,26.299999,49.70904968,0
217,69,770.833313,28.0,36.44568367,1
414,79,0.0,23.799999,49.39285613,0
584,60,494.999969,28.1,49.58103521,2
838,52,791.0,24.0,60.0,1
719,67,412.499969,27.6,50.0,0
323,77,0.0,25.799999,40.2,0
423,78,352.5,23.799999,49.50059557,0
260,77,0.0,26.700001,49.58848797,0
298,78,0.0,26.200001,49.51117047,0
359,79,0.0,24.799999,30.0,0
30,70,7.5,28.0,49.42473848,0
263,77,0.0,26.700001,50.0,0
571,60,42.5,28.1,57.54229299,1
585,60,479.16665599999993,28.0,49.39285613,0
794,69,28.333332000000002,28.0,60.0,0
347,78,0.0,24.799999,49.39285613,0
197,68,1048.333252,28.0,50.17331641,0
192,68,1089.166626,28.0,50.0,0
656,72,185.833328,27.6,49.59396936,1
949,80,35.0,21.0,45.0,2
367,79,0.0,24.5,49.77880291,0
1012,74,2841.0,22.0,69.0,1
322,77,0.0,25.799999,60.5,0
